,Date,User,Tweet
27,2020-01-15 12:27:30+00:00,critoe,"From interfering in the #USelections to  creating a mass hysteria (eg #Islamophobia #cybervawg etc), #FakeNews is an unbridled wild horse that enables #xenophia #majoritarianism to start with; playing a key role in individual + collective #mentalhealth #SiftingTruthFromLies https://t.co/UcutU48doI"
28,2019-11-23 19:54:15+00:00,GNzowo,"""Ignorant people are the blind instrument of their own destruction."" ~ Simón Bolíva

#internationalstudents #Xenophia #Racism via @CNN https://t.co/8HsLpzXERq"
29,2019-11-18 20:30:42+00:00,Joeanthony_nyc,#Hope #USA #Populist #Nationalism #WhiteSupremacy #xenophia did we not prepare @POTUS44 departure of 2nd term resentment #TeaParty disrespect #namechange entered #Congress #FreedomCaucus #JimCrow #FridayThe13th Jason not #ghosted #resurrection irony #Obama savior KKK removed hood https://t.co/a3v9EWI0aX
30,2019-11-11 17:24:09+00:00,TheScavengerrr,"South Africans are weird people. 
One moment its #xenophia, then its whether the #Springbokke are for blacks or whites. Then its Xhosas vs the rest. #Unathi Now, its the #coloureds vs blacks."
31,2019-10-31 08:14:17+00:00,XoliswaTshemese,#Xenophia There is no xenophobia in Cape Town its immigrants defying a court order and resisting arrest because they want a free ticket back to where they are from.Its tiring really everytime these foreigners break the law they always hide behind xenophobia#Xenophobia
32,2019-10-04 07:44:45+00:00,Tabudim,"@adeyanjudeji Aptly put Mr. President!!! @🙏🙏🙏🙏🙏
This #xenophia claim is a ruse deflecting from deeper social issues plaguing both countries."
33,2019-10-03 23:20:21+00:00,DeeBugMan,"@Gidi_Traffic @bustopsng @gidifeedtv Not is fault nah, non of is family were involved in the #XenophobiaInSouthAfrica #Xenophia that's why he's opening that is mouth to be saying trash hisss"
34,2019-10-02 18:16:10+00:00,KalkaOsman,"Passionate about human rights and equality @msalilla' s maiden speech was spot on. ""Let's say this loud and clear, we do not accept any form of intolerance"". Proud of you 🥰
#Antisemitism #Islamophobia #xenophia 
@SheffieldGreens @MagicMagid @natalieben @MartinPhipps13 https://t.co/QFe4NjrFoc"
35,2019-09-24 19:02:14+00:00,SenatorFromMBNA,"@skallabard69 @prageru @steph93065 Your #Patriotism  looks like #Xenophia .
Your #AntiCommunism looks like #AmericanImperialism.
Your tirade is all about #Hurray4YouScrewMe or screw folk who don't think, feel, or look like you."
36,2019-09-24 15:47:51+00:00,BernadineTruth,@AyannaPressley @WhiteHouse An entire country cannot stand in unison when #bigotry #xenophia #racism #prejudice #intolerance &amp; the likes are at the forefront of this country. Keep speaking #truth Congresswoman @AyannaPressley #ignorance no longer stands ground. #Wakeup ppl. #TheTimeIsNow &amp; #TimeWasYesterday
37,2019-09-23 06:01:46+00:00,companiesdb,Information about JOLLOFS LTD #WestburyonTrym #JOLLOFS https://t.co/rrJAPSwUQV
38,2019-09-21 07:36:08+00:00,Tabudim,"The xenophobia claim doesn't only absolve dealers, pimps and traffickers but it protects corrupt African leaders who ran their countries to the ground. 
South Africa also revels in blaming #xenophia because they are embarrassed by their failure to address socio-economic issues."
39,2019-09-21 07:28:16+00:00,Tabudim,"...in as much as to attribute the violence to #xenophia.
They even go to an extent of treating supposed victims as innocent victims who live by our rules when all most do is to wreak havoc and add to existing social ills the country is buckling under."
40,2019-09-16 13:23:52+00:00,ThulaniWrite,"Teacher: Themba hlala phantsi iza Nelson 

Xhosa/Shona 

Shows how our African languages all evolved from the same language, which makes #xenophia stupid. https://t.co/eSMlXxCNuk"
41,2019-09-16 10:50:11+00:00,MunhenzvaPatric,"1.He tag @usembassy when talking about local issue when he should have tagged his ministry
2. #xenophia in SA @HMAMelanieR keep quiet only to speak aftr Dr Peter Magombeyi is ""allegedly abducted""

#Zimbabwe lets see the activities being done by this westerners before we fight ""US https://t.co/cnJ06wHeh9"
42,2019-09-12 13:38:05+00:00,SocialTrendsHQ,"Done stealing from Nigerians in the name of #xenophia, criminal minded South Africans move over to stealing from Pakistanis #SayNoToXenophobia https://t.co/sgXFgGfj2i"
43,2019-09-12 00:04:24+00:00,IAmTaiwoFrancis,Returnee #Nigerians from South Africa ferried by Air Peace airline landed in Lagos on Wednesday night @Gidi_Traffic #XenophobicAttacks #xenophia https://t.co/2hB5u6e4sg
44,2019-09-11 14:01:27+00:00,BillMari_,@ali_naka @Julius_S_Malema Let's fight #Xenophia together! Visit https://t.co/TmkxEaOsPr for more information. #iloveblackpeople #NoToXenophobia
45,2019-09-11 14:00:17+00:00,BillMari_,@AdvBarryRoux We are one people. One Africa. Join the fight against #Xenophia. Visit https://t.co/TmkxEaOsPr for more information #iloveblackpeople #NoToXenophobia
46,2019-09-11 13:57:07+00:00,BillMari_,@ayemojubar One people. One Africa. Let's unite against #Xenophia .Visit https://t.co/TmkxEaOsPr for more information. #iloveblackpeople #NoToXenophobia
47,2019-09-11 13:55:29+00:00,BillMari_,@TeamNews24 @Fin24 @SKKhumalo Join the fight against #Xenophia . Visit https://t.co/TmkxEaOsPr for more information. #iloveblackpeople #NoToXenophobia
48,2019-09-11 13:54:10+00:00,BillMari_,@BashirAhmaad @MBuhari We are taking a stand against xenophobia. Visit https://t.co/TmkxEaOsPr for more information. #iloveblackpeople #Xenophia #NoToXenophobia
49,2019-09-11 13:30:11+00:00,jobjb,We understand now Sho Madjozi. Translate this song to other main African languages. We need to understand why Black south Africans refers to their brothers as KwereKwere #XenophobiaInSouthAfrica #XenophobicAttacks #Xenophia https://t.co/5VBGmVhasU
50,2019-09-11 12:59:36+00:00,PrimevalAfrica,"ironic that #SouthAfrica faces international pressure(isolation) for the murder of 12 immigrants &amp; 200 shops looted But between 
2018 
433 #FarmAttack 54 #FarmMurders 
2017 
342 #FarmAttack 72 #FarmMurders
#Xenophia not new just this time Black on Black get the MEDIA attention https://t.co/hkHxfVL05g"
51,2019-09-10 18:50:56+00:00,SkhumbaSomile,"If there are dreams about a beautiful #SouthAfrica, there are also roads that lead to their goal. Two of these roads could be named Goodness &amp; Forgiveness. NO TO XENOPHOBIA #XenophobicAttacks #XenophobiaInSouthAfrica #Xenophobia  #Xenophia #Zimbabwe #Bulawayo https://t.co/hBAbzHWTvG"
